,topic_name,stationary_prob
0,camp selections,0.12147461892426946
1,camp intake procedures,0.07167480149922818
2,"Mengele, Josef",0.06868912710538212
3,camp living conditions,0.0557548852784484
4,camp first impressions,0.03446486356666045
5,mass murder awareness,0.0325862831537697
6,camp food,0.026612366613830096
7,camp adaptation methods,0.026323492557412346
8,loved ones' separations,0.025228980654849364
9,camp family interactions,0.021213202593461003
10,Blockälteste,0.019849716820361532
11,camp Appell,0.01969351078346977
12,camp hiding and evasion,0.019168035058497693
13,camp forced labor,0.018719898091176603
14,survival explanations,0.01851747220415419
15,post-conflict adaptation,0.01807795560368741
16,deportation to camps,0.017656884153620538
17,camp-related aid giving,0.017367928414718885
18,transfer from camps,0.016171276460562937
19,transfer to camps,0.016171276460562888
20,camp housing conditions,0.015775350795939336
21,extended family members,0.015243844754917078
22,loved ones' fates,0.015147916235664123
23,perpetrator liberator-approach responses,0.013229150225119708
24,camp sanitary conditions,0.012756680573071683
25,forced correspondence,0.012656537545353038
26,camp barracks,0.01265653754535301
27,food additives,0.012520445746646684
28,camp medical care,0.012484497001692126
29,camp diseases,0.012012027333435156
30,attitudes toward perpetrators,0.011834851195020516
31,camp social relations,0.01177579249466827
32,Holocaust faith issues,0.011413308980365569
33,German concentration camps (generic),0.009122259141838838
34,"transfers, means of transport",0.008364143455394076
35,loved ones' contacts,0.008256235970604327
36,loved ones' final contacts,0.006980482323086913
37,deportation conditions,0.0063783402977566905
38,camp prisoner marking,0.006378340295561002
39,loved ones' renewed contacts,0.006328268778376492
40,passenger trains,0.0062717778471832785
41,sustenance provision,0.006091995103590816
42,grandmothers,0.0060355430237810734
43,health deceptions,0.005917425603210245
44,grandparents,0.005887896253034122
45,attitudes,0.004612570564192597
46,camp food sharing,0.004601618652144867
47,corpse disposal forced labor,0.004476478777525317
48,camp covert activities,0.00439773382495906
49,camp abortions,0.004397733824959054
50,prisoner external contact,0.004330971809514926
51,perpetrator deceptions,0.00423250173231827
52,medical forced labor,0.004082754061042118
53,hospitals,0.0040827540610421115
54,camp covert communications,0.003925264172489405
55,camp children,0.0036115294054300047
56,freight trains,0.003462527605633815
57,camp menstruation,0.003313065052043651
58,camp clothing,0.0029439481322170538
59,personal property sorting forced labor,0.002943948132217046
60,housing conditions,0.0023229758053287825
61,ghetto living conditions,0.002322975805328776
62,camp punishments,0.0021693375643961005
63,survivor reunions,0.002169337564396096
64,trucks,0.001370161997423011
65,deportation food,0.001370161997423009
66,camp prisoner physical conditions,0.0013701619974230085
67,"deportations, means of transport",0.0013701619974230085
68,camp-related psychological reactions,0.0013701619974230076
69,deportation from ghettos,0.0013701619974230063
70,warnings,0.0012885536115012054
71,hiding (aid giving),0.0012885536115012051
72,shelter provision,0.0012885536115012051
73,camp procedures,0.0012885536115012034
74,Hungarian prisoners,0.0012885536115012015
75,Rosh Ha-Shana,1.1399985726738635e-11
76,forced march food,1.1399985726738635e-11
77,camp shoes,1.1399985726738628e-11
78,Czechoslovak prisoners,1.1399985726738628e-11
79,Armia Krajowa,1.1399985726738628e-11
80,rabbis,1.1399985726738624e-11
81,religious beliefs,1.1399985726738624e-11
82,medical care,1.1399985726738622e-11
83,coerced sexual activities,1.1399985726738622e-11
84,flight,1.1399985726738622e-11
85,1920s photographs (stills),1.1399985726738619e-11
86,deportation experiences,1.1399985726738619e-11
87,identification papers,1.1399985726738619e-11
88,games,1.1399985726738619e-11
89,post-conflict persecution site visits,1.1399985726738617e-11
90,captivity,1.1399985726738617e-11
91,aid giving,1.1399985726738615e-11
92,prisoner of war camps (generic),1.1399985726738615e-11
93,"""Mischlinge""",1.1399985726738615e-11
94,anti-Jewish economic measures,1.1399985726738615e-11
95,Jewish schools,1.1399985726738615e-11
96,friendships,1.1399985726738612e-11
97,camp killings,1.1399985726738612e-11
98,medical care provision,1.1399985726738612e-11
99,Slovak prisoner functionaries,1.139998572673861e-11
100,writing,1.139998572673861e-11
101,Jewish resistance groups,1.139998572673861e-11
102,attitudes toward Germany and/or Germans,1.139998572673861e-11
103,post-World War II family photographs (stills),1.1399985726738609e-11
104,forced march-related aid giving,1.1399985726738609e-11
105,1910s photographs (stills),1.1399985726738609e-11
106,aborted killings,1.1399985726738609e-11
107,covert weapons procurement,1.1399985726738609e-11
108,forced labor civilian supervisors,1.1399985726738606e-11
109,gay male sexual activities,1.1399985726738606e-11
110,forced march killings,1.1399985726738606e-11
111,forced march corpses,1.1399985726738606e-11
112,prisoner medical personnel,1.1399985726738606e-11
113,camp deaths,1.1399985726738606e-11
114,1960s documents and artifacts (stills),1.1399985726738606e-11
115,Tisha be-Av,1.1399985726738606e-11
116,Polish armed forces,1.1399985726738606e-11
117,Judenräte,1.1399985726738604e-11
118,media coverage,1.1399985726738604e-11
119,camp quarantines,1.1399985726738604e-11
120,"Hirsch, Fredy",1.1399985726738604e-11
121,interviewee original works,1.1399985726738604e-11
122,survivor organizations,1.1399985726738604e-11
123,helplessness,1.1399985726738604e-11
124,camp stealing,1.1399985726738604e-11
125,forced march routes,1.1399985726738604e-11
126,transfer routes,1.1399985726738604e-11
127,German soldiers,1.1399985726738604e-11
128,roundups,1.1399985726738604e-11
129,1950s photographs (stills),1.1399985726738604e-11
130,camp resistance,1.1399985726738604e-11
131,Slovak prisoners,1.1399985726738604e-11
132,military uniforms,1.1399985726738603e-11
133,1990s documents and artifacts (stills),1.1399985726738603e-11
134,resistance,1.1399985726738603e-11
135,Soviet soldiers,1.1399985726738603e-11
136,camp epidemics,1.1399985726738603e-11
137,camp blood extraction,1.1399985726738603e-11
138,camp injuries,1.13999857267386e-11
139,Lagerführer,1.13999857267386e-11
140,Nuremberg Trials (Germany)(generic),1.13999857267386e-11
141,culture,1.13999857267386e-11
142,Holocaust testimony sharing reluctance,1.13999857267386e-11
143,sexual assault fears,1.13999857267386e-11
144,camp childbearing,1.13999857267386e-11
145,liberation physical condition,1.13999857267386e-11
146,camp sexual assaults,1.13999857267386e-11
147,camp sterilization medical experiments,1.13999857267386e-11
148,wartime family interactions,1.13999857267386e-11
149,camp time awareness,1.13999857267386e-11
150,nationalist political parties,1.13999857267386e-11
151,1990s photographs (stills),1.13999857267386e-11
152,gassings,1.13999857267386e-11
153,International Red Cross,1.13999857267386e-11
154,camp construction forced labor,1.13999857267386e-11
